configuration,features,scenario,accuracy,precision,recall,f1_score,false_positive_rate,mean_inference_time_sec
vel_residual,vel_residual,none,0.9266666666666666,0.0,0.0,0.0,0.07333333333333333,0.00018843566500000483
vel_residual,vel_residual,progressive,0.8016666666666666,0.9288256227758007,0.725,0.8143525741029641,0.08333333333333333,0.00018316900666661695
vel_residual,vel_residual,brutal,0.835,0.8708487084870848,0.7866666666666666,0.8266199649737302,0.11666666666666667,0.00018281655000009777
vel_residual,vel_residual,intermittent,0.71,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.2153846153846154,0.0001801546399999173
alt_residual,alt_residual,none,1.0,0.0,0.0,0.0,0.0,0.00017884355166681115
alt_residual,alt_residual,progressive,0.4,0.0,0.0,0.0,0.0,0.00018607630499995292
alt_residual,alt_residual,brutal,0.5,0.0,0.0,0.0,0.0,0.00017851848333331569
alt_residual,alt_residual,intermittent,0.65,0.0,0.0,0.0,0.0,0.00017981611000000914
pos_jump,pos_jump,none,1.0,0.0,0.0,0.0,0.0,0.00017315490166671074
pos_jump,pos_jump,progressive,0.4,0.0,0.0,0.0,0.0,0.00018398396833333664
pos_jump,pos_jump,brutal,0.5,0.0,0.0,0.0,0.0,0.00017724747000007332
pos_jump,pos_jump,intermittent,0.65,0.0,0.0,0.0,0.0,0.00017576000833344096
vel+alt,vel_residual+alt_residual,none,0.9266666666666666,0.0,0.0,0.0,0.07333333333333333,0.0002576402450000614
vel+alt,vel_residual+alt_residual,progressive,0.8016666666666666,0.9288256227758007,0.725,0.8143525741029641,0.08333333333333333,0.00025054698000000523
vel+alt,vel_residual+alt_residual,brutal,0.835,0.8708487084870848,0.7866666666666666,0.8266199649737302,0.11666666666666667,0.0002523027766667004
vel+alt,vel_residual+alt_residual,intermittent,0.71,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.2153846153846154,0.0002555614966667008
vel+pos,vel_residual+pos_jump,none,0.9266666666666666,0.0,0.0,0.0,0.07333333333333333,0.00025555051666666865
vel+pos,vel_residual+pos_jump,progressive,0.8016666666666666,0.9288256227758007,0.725,0.8143525741029641,0.08333333333333333,0.000262541348333419
vel+pos,vel_residual+pos_jump,brutal,0.835,0.8708487084870848,0.7866666666666666,0.8266199649737302,0.11666666666666667,0.0002538682433333861
vel+pos,vel_residual+pos_jump,intermittent,0.71,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.2153846153846154,0.0002549640533334241
alt+pos,alt_residual+pos_jump,none,1.0,0.0,0.0,0.0,0.0,0.00025979149666663186
alt+pos,alt_residual+pos_jump,progressive,0.4,0.0,0.0,0.0,0.0,0.00025692775666660356
alt+pos,alt_residual+pos_jump,brutal,0.5,0.0,0.0,0.0,0.0,0.00025590383000007933
alt+pos,alt_residual+pos_jump,intermittent,0.65,0.0,0.0,0.0,0.0,0.0003297516900001559
all,vel_residual+alt_residual+pos_jump,none,0.9266666666666666,0.0,0.0,0.0,0.07333333333333333,0.0003057392116666809
all,vel_residual+alt_residual+pos_jump,progressive,0.8016666666666666,0.9288256227758007,0.725,0.8143525741029641,0.08333333333333333,0.00030699873166668113
all,vel_residual+alt_residual+pos_jump,brutal,0.835,0.8708487084870848,0.7866666666666666,0.8266199649737302,0.11666666666666667,0.0003070075166666205
all,vel_residual+alt_residual+pos_jump,intermittent,0.71,0.5882352941176471,0.5714285714285714,0.5797101449275363,0.2153846153846154,0.0003268651133333833
